dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-2.250105,-2.425000,-0.000222,-0.022222,-1.111111,-55.555556,0.000000
0.020000,-2.250994,-2.425000,-0.001111,-0.044444,-1.111111,-0.000000,0.000000
0.020000,-2.252994,-2.425000,-0.003111,-0.100000,-2.777778,-83.333333,0.000000
0.020000,-2.256549,-2.425000,-0.006667,-0.177778,-3.888889,-55.555556,0.000000
0.020000,-2.262105,-2.425000,-0.012222,-0.277778,-5.000000,-55.555556,0.000000
0.020000,-2.270105,-2.425000,-0.020222,-0.400000,-6.111111,-55.555556,0.000000
0.020000,-2.280994,-2.425000,-0.031111,-0.544444,-7.222222,-55.555556,0.000000
0.020000,-2.295216,-2.425000,-0.045333,-0.711111,-8.333333,-55.555556,0.000000
0.020000,-2.313216,-2.425000,-0.063333,-0.900000,-9.444444,-55.555556,0.000000
0.020000,-2.335216,-2.425000,-0.085333,-1.100000,-10.000000,-27.777778,0.000000
0.020000,-2.361216,-2.425000,-0.111333,-1.300000,-10.000000,0.000000,0.000000
0.020000,-2.391216,-2.425000,-0.141333,-1.500000,-10.000000,-0.000000,0.000000
0.020000,-2.425216,-2.425000,-0.175333,-1.700000,-10.000000,0.000000,0.000000
0.020000,-2.463216,-2.425000,-0.213333,-1.900000,-10.000000,-0.000000,0.000000
0.020000,-2.505216,-2.425000,-0.255333,-2.100000,-10.000000,0.000000,0.000000
0.020000,-2.551216,-2.425000,-0.301333,-2.300000,-10.000000,-0.000000,0.000000
0.020000,-2.601216,-2.425000,-0.351333,-2.500000,-10.000000,0.000000,0.000000
0.020000,-2.655216,-2.425000,-0.405333,-2.700000,-10.000000,0.000000,0.000000
0.020000,-2.713216,-2.425000,-0.463333,-2.900000,-10.000000,-0.000000,0.000000
0.020000,-2.775216,-2.425000,-0.525333,-3.100000,-10.000000,-0.000000,0.000000
0.020000,-2.841216,-2.425000,-0.591333,-3.300000,-10.000000,-0.000000,0.000000
0.020000,-2.911216,-2.425000,-0.661333,-3.500000,-10.000000,0.000000,0.000000
0.020000,-2.985216,-2.425000,-0.735333,-3.700000,-10.000000,-0.000000,0.000000
0.020000,-3.063216,-2.425000,-0.813333,-3.900000,-10.000000,-0.000000,0.000000
0.020000,-3.145216,-2.425000,-0.895333,-4.100000,-10.000000,0.000000,0.000000
0.020000,-3.231216,-2.425000,-0.981333,-4.300000,-10.000000,-0.000000,0.000000
0.020000,-3.321216,-2.425000,-1.071333,-4.500000,-10.000000,0.000000,0.000000
0.020000,-3.415216,-2.425000,-1.165333,-4.700000,-10.000000,-0.000000,0.000000
0.020000,-3.513216,-2.425000,-1.263333,-4.900000,-10.000000,0.000000,0.000000
0.020000,-3.615216,-2.425000,-1.365333,-5.100000,-10.000000,-0.000000,0.000000
0.020000,-3.721216,-2.425000,-1.471333,-5.300000,-10.000000,0.000000,0.000000
0.020000,-3.831216,-2.425000,-1.581333,-5.500000,-10.000000,0.000000,0.000000
